,day,month,year,crash_time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,bad_road_infrastructure,car_failure,distraction,driver_mistake,illegal_action,medical,other_involvement
115,2,5,2017,14,40.698677,-73.95886,0,0,0,0,0,1,0,0,0
117,25,4,2017,5,40.72135,-74.00465,0,0,0,0,1,0,0,0,0
118,5,5,2017,10,40.686646,-73.849075,0,0,0,0,0,1,0,0,0
120,20,4,2017,0,40.827347,-73.90739,1,0,0,0,1,0,0,0,0
121,3,5,2017,8,40.674114,-73.88975,0,0,0,0,0,1,0,0,0
122,10,5,2017,8,40.73715,-73.930824,0,0,0,0,1,0,0,0,0
124,30,4,2017,4,40.83265,-73.86366,0,0,0,0,0,1,0,0,0
125,20,4,2017,0,40.75201,-73.93016,0,0,0,0,0,1,0,0,0
126,30,4,2017,12,40.866096,-73.83785,0,0,0,0,1,0,0,0,0
127,21,4,2017,13,40.746956,-73.98692,0,0,0,0,1,0,0,0,0
130,18,4,2017,11,40.76211,-73.96016,0,0,0,0,1,0,0,0,0
132,7,5,2017,19,40.691914,-73.88363,0,0,0,0,0,1,0,0,0
133,8,5,2017,17,40.710938,-73.74355,0,0,0,0,0,1,0,0,0
134,25,4,2017,9,40.529263,-74.18986,0,0,0,0,1,0,0,0,0
135,24,4,2017,12,40.715984,-74.010254,0,0,0,0,0,0,0,0,1
137,8,5,2017,17,40.73251,-73.857056,0,0,0,0,0,1,0,0,0
139,6,5,2017,16,40.67236,-74.01123,0,0,0,0,0,1,0,0,0
140,28,4,2017,18,40.63132,-73.902336,0,0,0,0,0,1,0,0,0
141,3,5,2017,18,40.820984,-73.891624,0,0,0,0,0,1,0,0,0
142,5,5,2017,17,40.65616,-73.76736,0,0,0,0,0,1,0,0,0
143,4,5,2017,8,40.718254,-73.88815,0,0,0,0,0,0,1,0,0
144,3,5,2017,16,40.84772,-73.86704,1,0,0,0,0,0,0,0,1
145,19,4,2017,8,40.76732,-73.92231,0,0,0,0,0,1,0,0,0
146,25,4,2017,15,40.72235,-73.99327,0,0,0,0,0,1,0,0,0
151,9,5,2017,8,40.788788,-73.78443,0,0,0,0,0,1,0,0,0
154,3,5,2017,16,40.674664,-73.97025,0,0,0,0,0,1,0,0,0
156,25,4,2017,17,40.8678,-73.86251,4,0,0,0,0,0,1,0,0
157,15,4,2017,18,40.76588,-73.99464,1,0,0,0,0,0,1,0,0
160,24,4,2017,8,40.76197,-73.86917,0,0,0,0,0,1,0,0,0
161,6,5,2017,17,40.845024,-73.92632,0,0,0,0,0,1,0,0,0
162,24,4,2017,19,40.713135,-74.00407,0,0,0,0,0,1,0,0,0
164,6,5,2017,17,40.848736,-73.93234,0,0,0,0,0,1,0,0,0
165,26,4,2017,13,40.7074,-73.771614,0,0,0,0,1,0,0,0,0
166,5,5,2017,16,40.798126,-73.94832,1,0,0,0,1,0,0,0,0
167,6,5,2017,11,40.75469,-73.993484,0,0,0,0,1,0,0,0,0
168,3,5,2017,8,40.73811,-73.78942,0,0,0,0,0,1,0,0,0
169,21,4,2017,9,40.757393,-73.93547,2,0,0,0,0,1,0,0,0
172,8,5,2017,9,40.773808,-73.8929,0,0,0,0,1,0,0,0,0
175,2,5,2017,10,40.62214,-74.02567,0,0,0,0,0,1,0,0,0
176,6,5,2017,0,40.826797,-73.82237,0,0,0,0,0,1,0,0,0
178,28,4,2017,7,40.713596,-73.85964,0,0,0,0,0,1,0,0,0
179,20,4,2017,13,40.79335,-73.97275,0,0,0,0,1,0,0,0,0
181,25,4,2017,7,40.740364,-73.94956,0,0,0,0,0,1,0,0,0
182,28,4,2017,1,40.72495,-73.99492,0,0,0,0,1,0,0,0,0
183,30,4,2017,19,40.690098,-73.86113,0,0,0,0,1,0,0,0,0
184,23,4,2017,21,40.84921,-73.90011,0,0,0,0,0,1,0,0,0
185,28,4,2017,13,40.74959,-74.00279,0,0,0,0,0,1,0,0,0
187,7,5,2017,14,40.638363,-73.900116,1,0,0,0,0,0,1,0,0
188,1,5,2017,9,40.85681,-73.89818,1,0,0,0,1,0,0,0,0
190,19,4,2017,14,40.71153,-73.95504,0,0,0,0,0,1,0,0,0
191,16,4,2017,16,40.588852,-73.89942,0,0,0,0,0,1,0,0,0
192,27,4,2017,10,40.693516,-73.96499,0,0,0,0,0,0,0,0,1
193,15,4,2017,14,40.594387,-73.93543,0,0,0,0,1,0,0,0,0
194,18,4,2017,10,40.533882,-74.16231,1,0,0,0,0,0,1,0,0
195,28,4,2017,15,40.86913,-73.89582,0,0,0,0,0,1,0,0,0
196,23,4,2017,20,40.669476,-73.919975,0,0,0,0,0,0,0,0,1
197,6,5,2017,10,40.761192,-73.98549,0,0,0,0,0,0,1,0,0
198,2,5,2017,16,40.551563,-74.1453,2,0,0,0,1,0,0,0,0
199,17,4,2017,18,40.772415,-73.97874,0,0,0,0,1,0,0,0,0
200,3,5,2017,12,40.594616,-73.99743,0,0,0,0,0,1,0,0,0
202,17,4,2017,9,40.70731,-73.764626,0,0,0,0,1,0,0,0,0
203,2,5,2017,18,40.721676,-73.835976,0,0,0,0,0,1,0,0,0
204,27,4,2017,18,40.542965,-74.21845,1,0,0,0,1,0,0,0,0
205,28,4,2017,23,40.864697,-73.91965,0,0,0,0,0,1,0,0,0
207,29,4,2017,15,40.77491,-73.92821,0,0,0,0,0,1,0,0,0
208,4,5,2017,14,40.756607,-73.97651,0,0,0,0,0,0,0,0,1
210,28,4,2017,10,40.830257,-73.914856,0,0,0,0,0,1,0,0,0
214,4,5,2017,7,40.63524,-73.967636,0,0,0,0,0,1,0,0,0
215,7,5,2017,17,40.589035,-74.08988,0,0,0,0,0,1,0,0,0
216,5,5,2017,8,40.73696,-73.98451,0,0,0,0,0,1,0,0,0
218,24,4,2017,14,40.756725,-73.96,0,0,0,0,1,0,0,0,0
220,21,4,2017,21,40.770313,-73.99141,0,0,0,0,0,1,0,0,0
221,30,4,2017,19,40.695858,-73.81891,1,0,0,0,0,0,1,0,0
222,16,4,2017,14,40.740078,-73.89969,5,0,0,0,0,1,0,0,0
223,21,4,2017,15,40.878983,-73.90609,2,0,0,0,1,0,0,0,0
224,4,5,2017,21,40.732983,-73.99118,1,0,0,0,0,1,0,0,0
226,9,5,2017,16,40.756084,-73.880486,0,0,0,0,1,0,0,0,0
230,7,5,2017,11,40.862717,-73.9023,1,0,0,0,0,1,0,0,0
232,8,5,2017,16,40.713135,-73.87528,1,0,0,0,0,1,0,0,0
233,15,4,2017,1,40.848927,-73.88816,0,0,0,0,0,1,0,0,0
234,24,4,2017,17,40.715145,-73.74935,1,0,0,0,0,1,0,0,0
235,25,4,2017,9,40.712498,-73.97776,0,0,0,0,0,1,0,0,0
236,19,4,2017,21,40.706657,-74.015915,0,0,0,0,0,1,0,0,0
237,21,4,2017,9,40.670616,-73.911934,0,0,0,0,0,1,0,0,0
239,15,4,2017,14,40.609642,-73.89738,1,0,0,0,0,1,0,0,0
241,9,5,2017,13,40.76471,-73.830696,1,0,0,0,0,1,0,0,0
